node_i,node_j,intensity,competition
34028268,898761,0.3137254901960784,0.0
7428784.0,3741.0,695.3793103448277,1.0
831306.0,3519.0,1025.948717948718,1.0
14291767.0,3511.0,791.4829931972789,1.0
5504229.0,34665.0,567.5891891891891,1.0
873115.0,21463.0,447.1676575505351,1.0
21320,24579,4.262686567164179,0.0
831306.0,3502.0,759.025641025641,1.0
6628000.0,21463.0,817.9379562043794,1.0
33534924.0,21463.0,521.1805555555555,1.0
788781.0,10123.0,901.7446808510637,1.0
5430469.0,6427.0,689.6573426573426,1.0
9482741.0,3472.0,930.5942028985507,1.0
809027,828167,0.1867838044308632,0.0
5430469,34886144,0.8111888111888113,0.0
822964.0,3562.0,768.679389312977,1.0
6628286,3817,4.812316715542521,0.0
5110,5430637,0.6128133704735376,0.0
3527,6627901,0.9922696426210726,0.0
4044.0,3742.0,731.5454545454545,1.0
6931235.0,10220.0,639.3923076923078,1.0
4251,33531052,4.654300168634064,0.0
6929626.0,3745.0,1173.0590909090909,1.0
71708308.0,3557.0,2030.7115384615386,1.0
6627849.0,3557.0,1255.7301038062285,1.0
6434,780946,1.5879032258064516,0.0
6627935.0,3527.0,488.2908366533865,1.0
868580.0,3741.0,564.9688796680498,1.0
24591.0,3527.0,588.5328467153286,1.0
11790.0,3506.0,496.34971098265896,1.0
110114.0,3472.0,631.7727272727273,1.0
6413,21104,1.7396938364442058,0.0
34081148,9482741,0.13142857142857145,0.0
831306.0,10124.0,2048.051282051282,1.0
5426260.0,34665.0,596.5153846153847,1.0
7728927,6628144,1.2706422018348627,0.0
837592.0,3527.0,442.8502673796791,1.0
5429395,6933952,0.6014807683746606,0.0
5430469.0,3746.0,522.8181818181819,1.0
33540136.0,3936.0,491.7564102564102,1.0
6013334,7689454,0.5161290322580646,0.0
8338472,21606,1.1120461769170142,0.0
5427448.0,3503.0,555.0106382978723,1.0
3747,3985,6.202143622722401,0.0
15278262.0,6625756.0,567.4941176470588,1.0
4874,834905,0.368671828469327,0.0
33534576.0,3498.0,856.2072538860102,1.0
14868041.0,3498.0,601.9910846953937,1.0
6794937.0,3557.0,489.31944444444446,1.0
7320.0,3746.0,442.71246819338427,1.0
831457.0,3742.0,467.4397321428571,1.0
33537772.0,3741.0,555.0602409638554,1.0
5426597.0,10123.0,1185.7395348837208,1.0
33538304,865493,0.25773195876288657,0.0
807017.0,3472.0,500.1200466200467,1.0
6628213,4016,12.365671641791046,0.0
6446.0,3466.0,1102.8301886792453,1.0
4252,21640,1.980842911877395,0.0
7031975,11788,0.4313186813186814,0.0
6954251,6628354,0.07100775193798449,0.0
818305.0,10124.0,469.1121495327103,1.0
4252.0,3745.0,887.6896551724138,1.0
7641.0,3812.0,468.0549450549451,1.0
6728.0,6625756.0,935.7615894039736,1.0
33534576.0,3474.0,779.8860103626942,1.0
26931092.0,3563.0,648.0158730158728,1.0
852504,790418,0.46877787689562894,0.0
9081178.0,3506.0,658.3874458874458,1.0
33532072.0,10220.0,616.1578947368421,1.0
802074,9482741,0.18317757009345795,0.0
807025.0,3745.0,1009.6494845360824,1.0
7032096,6933,14.29359430604982,0.0
